"object_slug","object_title","object_url","image_files","license_text","license_url","license_holder","institution_or_source"
"alabasterrelief-sophie-haufe-hebel","Alabasterrelief von Sophie Haufe, Hebel","/objekte/alabasterrelief-sophie-haufe-hebel/","Bilder/6-2/HuF_6_2_Hero_Image_Relief_SH_Ohmacht_TSS.webp | Bilder/6-2/HuF_6_2_Hero_Image_Relief_Hebel_Ohmacht_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"alemannische-gedichte-vierte-auflage-erster-satz","Alemannische Gedichte. Für Freunde ländlicher Natur und Sitten. Vierte Auflage mit Musick Blättern, Druck vom ersten Satz","/objekte/alemannische-gedichte-vierte-auflage-erster-satz/","Bilder/2-4/2.4_03_01_AG_D4_TSS.webp | Bilder/2-4/Raubdrucke_03_1a_AG_D4_S._110a.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"alemannische-gedichte-vierte-auflage-neusatz","Alemannische Gedichte. Für Freunde ländlicher Natur und Sitten. Vierte Auflage mit Musick Blättern, Druck vom Neusatz","/objekte/alemannische-gedichte-vierte-auflage-neusatz/","Bilder/2-4/2.4_03_01_AG_D4_TSS.webp | Bilder/2-4/Raubdrucke_03_1b_AG_D4_S._110b.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"allemannische-gedichte","Allemannische Gedichte, Erstdruck","/objekte/allemannische-gedichte/","Bilder/2-1/2.1_01_1_AG_1803_und_ALZ_TSS.webp | Bilder/2-1/2.1_01_1b_D1_Titel_TSS.webp | Bilder/2-1/2.1_05_01a_Irrlichter_H2_u_D1.webp | Bilder/2-1/2.1_05_01b_D1_S._33.webp | Bilder/2-1/2.1_07_04_Marktweiber.webp | Bilder/2-1/AG_07_04b_Marktweiber_D1_78.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"allemannische-gedichte-ensslin-1822","Allemannische Gedichte. Neueste vollständige Ausgabe, Reutlingen: J.[acob] N.[oah] Enßlin, 1822","/objekte/allemannische-gedichte-ensslin-1822/","Bilder/2-4/2.4_05_D5_TSS.webp | Bilder/2-4/Raubdrucke_05_1b_D5_Reutlingen1822.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"allemannische-gedichte-fuenfte-ausgabe-1820","J.[ohann] P.[eter] Hebel: Allemannische Gedichte. Fünfte, vollständige Original Ausgabe mit drey Kupfer, Aarau: H.[einrich] R.[emigius] Sauerländer, 1820","/objekte/allemannische-gedichte-fuenfte-ausgabe-1820/","Bilder/2-4/2.4_04_01_D5_TSS.webp | Bilder/2-4/Raubdrucke_04_1a_D5_1820.webp | Bilder/6-3/6.3_04_05_Schwarzwaelder_im_Breisgau.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"allemannische-gedichte-maecken-1821","Allemannische Gedichte. Neueste vollständige Ausgabe, Reutlingen: J.[ohann] J.[akob] Mäcken, 1821","/objekte/allemannische-gedichte-maecken-1821/","Bilder/2-4/2.4_04_01_D5_TSS.webp | Bilder/2-4/Raubdrucke_04_1b_D5_Reutlingen1821.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"allemannische-gedichte-umschlag","Allemannische Gedichte, Erstausgabe im Originalumschlag und -Einband","/objekte/allemannische-gedichte-umschlag/","Bilder/2-1/2.0_hero_image_Tschoepli_TSS.webp | Bilder/2-1/2.0_hero_image_Tschöpli_TSS.webp | Bilder/2-1/2.1_00_AG_1803_Tschoepli_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"allmanach-des-pi","Titelblatt des Allmanach des dreigebalkten Pi","/objekte/allmanach-des-pi/","Bilder/5/BuP_5_Slide_1_Titel_Allm_Pi_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek, Karlsruhe"
"anzeige-hotel-erbprinz","Anzeige für das Hotel Erbprinz","/objekte/anzeige-hotel-erbprinz/","Bilder/6-3/6.3_04_1b_Hotel_Erbprinz_KA_Stadtarchiv_KA.webp","Mit freundlicher Genehmigung des Stadtarchivs Karlsruhe","","Stadtarchiv Karlsruhe","Stadtarchiv Karlsruhe"
"attituden-lady-hamilton","Attituden der Lady Hamilton, Ausschnitt","/objekte/attituden-lady-hamilton/","Bilder/6-3/6.3_01_01c_Hamilton_Novelli_NGA_Washington.webp","Gemeinfrei (Public Domain)","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","National Gallery of Art, Washington D.C."
"badenscher-landkalender-1803","Badenscher Landkalender auf das Jahr 1803","/objekte/badenscher-landkalender-1803/","Bilder/3/3_01_01_Hebel_K03_Titelblatt_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"badischer-landkalender-1804","Badischer Landkalender auf das Jahr 1804","/objekte/badischer-landkalender-1804/","Bilder/3/3_02_04_Kalender_1804_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"badischer-landkalender-1805","Badischer Landkalender auf das Jahr 1805","/objekte/badischer-landkalender-1805/","Bilder/3/3_02_02_Hebel_K05_Neue_Aufgaben_TSS.webp","Public Domain Mark 1.0; Bearbeitung: Freigestellt","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek, Karlsruhe"
"basler-strasse-loerrach","Basler Straße in Lörrach (ca. 1910)","/objekte/basler-strasse-loerrach/","Bilder/1/1_06_01_Loerrach_Dreilaendermuseum.webp","Mit freundlicher Genehmigung des Dreiländermuseums Lörrach","","Dreiländermuseum Lörrach","Dreiländermuseum Lörrach"
"basler-totentanz","Hebels Geburtshaus am Basler Totentanz","/objekte/basler-totentanz/","Bilder/1/1_01_01_hebel_geburtshaus_privat.webp","Gemeinfrei; Bearbeitung: Ausschnitt","https://dls.staatsarchiv.bs.ch/de/orientierung/rechtsgrundlagen-und-datenschutz/#StABS-gemeinfrei","Staatsarchiv Basel-Stadt","Staatsarchiv Basel-Stadt"
"belchen","Ansicht des Belchen vom Münstertal aus","/objekte/belchen/","Bilder/4/Theo_4_1_Slide_1_Belchen_Wikipedia.webp","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/deed.de","Andreas Schwarzkopf","Wikipedia"
"biblische-geschichten-umschlag","Umschlag der Biblischen Geschichten","/objekte/biblische-geschichten-umschlag/","Bilder/4/Theo_4_2_Slide_1_Umschlag_recto_BG_TSS.webp | Bilder/4/Theo_4_2_Slide_2_Umschlag_verso_BG_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"brief-familie-haufe-1811","Johann Peter Hebel an die Familie Haufe","/objekte/brief-familie-haufe-1811/","Bilder/6-3/6.3_05_1b_Hebel_an_Haufe_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"brief-haufe-dezember-1815","Hebel an Haufe vom Dezember 1815","/objekte/brief-haufe-dezember-1815/","Bilder/7/7_6_2_Z_401_an_Haufe_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"brief-haufe-februar-1815","Hebel an Haufe vom Februar 1815","/objekte/brief-haufe-februar-1815/","Bilder/7/7_6_1_Z_392_an_Haufe_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek Karlsruhe","Badische Landesbibliothek Karlsruhe"
"brief-hebel-jaeck-1810","Brief von Hebel an Marcus Fidelis Jäck","/objekte/brief-hebel-jaeck-1810/","Bilder/7/7_03_03_An_Jaeck2_DLA.webp","Mit freundlicher Genehmigung des Deutschen Literaturarchivs Marbach","","DLA Marbach","DLA Marbach"
"brief-hendel-1809","Johann Peter Hebel an Henriette Hendel","/objekte/brief-hendel-1809/","Bilder/6-3/6.3_04_1c_Hebel_an_Hendel_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek Karlsruhe"
"brief-hitzig-1801","Brief Johann Peter Hebel an Friedrich Wilhelm Hitzig, 6. Februar [1801], erste Seite","/objekte/brief-hitzig-1801/","Bilder/2-1/2.1_02_1a_Hebel_Hitzig_Meine_Liebhaberey_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek Karlsruhe"
"brief-hitzig-1801-hexlein","Faksimile des Briefs an Friedrich Wilhelm Hitzig vom 6. Februar [1801]. Faksimile der Abschrift von fremder alter Hand einer frühen Version des Hexleins","/objekte/brief-hitzig-1801-hexlein/","Bilder/2-1/2.1_02_03a_Brief_Hexlein_Faltung_AB.webp | Bilder/2-1/2.1_02_03b_Brief_Hexlein_Faltung_AB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"brief-hitzig-1802","Brief Johann Peter Hebel an Friedrich Wilhelm Hitzig, [5. Dezember 1802], zweite Seite","/objekte/brief-hitzig-1802/","Bilder/2-4/2.4_02_01a_Hebel_an_Hitzig_BLB.webp | Bilder/2-4/2.4_02_01b_Hebel_an_Hitzig_Transkription_TSS.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","BLB Karlsruhe"
"brief-ittner-1811","Brief an Johann Albrecht Ittner","/objekte/brief-ittner-1811/","Bilder/7/7_02_01_An_Ittner_UB_Basel.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","UB Basel"
"brief-jaeck-hebel-1810","Brief von Marcus Fidelis Jäck an Hebel","/objekte/brief-jaeck-hebel-1810/","Bilder/7/7_03_04_Von_Jaeck4_BLB.webp","Mit freundlicher Genehmigung der Badischen Landesbibliothek Karlsruhe","","Badische Landesbibliothek, Karlsruhe","Badische Landesbibliothek, Karlsruhe"
"brief-koelle-1812","Brief an Christoph Friedrich Karl von Kölle","/objekte/brief-koelle-1812/","Bilder/7/7_00_01_hero_image_An_Koelle_DLA.webp","Mit freundlicher Genehmigung des Deutschen Literaturarchivs Marbach","","DLA Marbach","DLA Marbach"
"brief-koelle-1814","Brief an Kölle, 25. Oktober 1814","/objekte/brief-koelle-1814/","Bilder/3/3_04_01_Brief_an_Koelle_1815_BLB.webp","Public Domain Mark 1.0","https://creativecommons.org/publicdomain/mark/1.0/deed.de","","Badische Landesbibliothek, Karlsruhe"
"brief-koelle-1822","Brief Hebels an Christoph Friedrich Karl von Kölle","/objekte/brief-koelle-1822/","Bilder/7/7_05_01_An_Koelle_UB_Leipzig.webp","Mit freundlicher Genehmigung der Universitätsbibliothek Leipzig; Fotografie: Alexander Knopf","","Universitätsbibliothek Leipzig","Universitätsbibliothek Leipzig"
"brief-richter-1811","Brief Hebels an Jean Paul","/objekte/brief-richter-1811/","Bilder/7/7_04_01_An_Jean_Paul_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"brief-schuetz-1811","Johann Peter Hebel an Friedrich Karl Schütz","/objekte/brief-schuetz-1811/","Bilder/6-3/6.3_05_1a_Hebel_an_Schuetz_TSS.webp","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode.en","Hebel-Archiv Heidelberg","Hebel-Archiv Heidelberg"
"buehne-karlsruher-theaterhaus","Blick zur Bühne des Karlsruher Theaterhauses am Schlossplatz","/objekte/buehne-karlsruher-theaterhaus/","Bilder/6-3/6.3_03_01a_Theater_Weinbrenner_Buehne_Kunsthalle_KA.webp","Mit freundlicher Genehmigung der Staatlichen Kunsthalle Karlsruhe; Bearbeitung: Ausschnitt, Farbe, Helligkeit/Kontrast, Schärfe verändert","","Staatliche Kunsthalle Karlsruhe","Staatliche Kunsthalle Karlsruhe"
