Position,Objekt / Bild,Objektseiten-URL (Zum Objekt),Institution / Quelle,Status,Rechte-Status / To-do,Kommentar,Bearbeitung,Match-URL (aktuell),Match-Konfidenz
1,"Johann Peter Hebel, Kupferstich von Johann Friedrich Müller",https://ausstellung.hebel-archiv.de/objekte/mueller-johann-peter-hebel-kupferstich/,Staatliche Kunsthalle Karlsruhe,geklärt,CC0 Lizenz,Ausschnitt,,https://ausstellung.hebel-archiv.de/objekte/mueller-johann-peter-hebel-kupferstich/,hoch (URL/Slug exakt)
10.1,"Ebel, Anleitung … die Schweitz zu bereisen, Titelblatt",https://ausstellung.hebel-archiv.de/objekte/ebel-8-zuerich/,Hebel-Archiv Heidelberg – eigener Bestand,Geklärt,eigener Bestand,Frühere ETH-Bilder wurden durch Bilder aus eigenem Bestand ersetzt.,,https://ausstellung.hebel-archiv.de/objekte/ebel-8-zuerich/,hoch (URL/Slug exakt)
10.2,"Ebel, Anleitung … die Schweitz zu bereisen, weitere Ansicht",https://ausstellung.hebel-archiv.de/objekte/ebel-8-zuerich/,Hebel-Archiv Heidelberg – eigener Bestand,Geklärt,eigener Bestand,Frühere ETH-Bilder wurden durch Bilder aus eigenem Bestand ersetzt.,,https://ausstellung.hebel-archiv.de/objekte/ebel-8-zuerich/,hoch (URL/Slug exakt)
11,"Wue [sic] d'une partie du Marché aux poissons, 1790, 35 × 43,3 cm",https://ausstellung.hebel-archiv.de/objekte/marche-aux-poissons-strasbourg/,"Bibliothèque nationale et universitaire de Strasbourg, Sign. STRG.BO.423; Digitalisat via Gallica/BnF",Geklärt,gemeinfreies Werk; BNU-Digitalisat frei nachnutzbar nach Licence Ouverte; keine gesonderte Genehmigung erforderlich,"Bildnachweis: BNU Strasbourg, STRG.BO.423; Digitalisat via Gallica/BnF. Licence Ouverte / Etalab dokumentieren.",,https://ausstellung.hebel-archiv.de/objekte/marche-aux-poissons-strasbourg/,hoch (URL/Slug exakt)
6,Heinrich Meichelt / Christian Meichelt: Ansicht des Schlosses Rötteln von der Nordseite mit der Aussicht nach Lörrach,https://ausstellung.hebel-archiv.de/objekte/roettler-schloss-gla/,"Landesarchiv Baden-Württemberg, Generallandesarchiv Karlsruhe, J-B Rötteln 2",Geklärt,Public Domain Mark 1.0; keine Genehmigung erforderlich,Beim Bildnachweis Archivsignatur J-B Rötteln 2 bzw. Permalink angeben.,,https://ausstellung.hebel-archiv.de/objekte/roettler-schloss-gla/,hoch (URL/Slug exakt)
2,Das Oberland zwischen Freiburg und Basel (1833),https://ausstellung.hebel-archiv.de/objekte/wiesental-1833/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,Ausschnitt,,https://ausstellung.hebel-archiv.de/objekte/wiesental-1833/,hoch (URL/Slug exakt)
5,Innerer Marktgraben mit alter Lateinschule in Schopfheim,https://ausstellung.hebel-archiv.de/objekte/lateinschule-schopfheim/,Stadtarchiv Schopfheim; Bildquelle hausen.pcom,geklärt,"Stadtarchiv Schopfheim, mit Genehmigung",Genehmigung vom Stadtarchiv Schopfheim liegt vor. Wir nennen diese Institution als Leihgeber,,https://ausstellung.hebel-archiv.de/objekte/lateinschule-schopfheim/,hoch (URL/Slug exakt)
4.2,Hebels handschriftliches Widmungsgedicht an Hausen,https://ausstellung.hebel-archiv.de/objekte/widmungsgedicht-blb/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,freigestellt,,https://ausstellung.hebel-archiv.de/objekte/widmungsgedicht-blb/,hoch (URL/Slug exakt)
8,"Basler Straße mit Hebelgymnasium, Stadtkirche und Pfarrhaus",https://ausstellung.hebel-archiv.de/objekte/loerrach-foto/,Dreiländermuseum Lörrach,Geklärt,Genehmigung liegt vor,,,https://ausstellung.hebel-archiv.de/objekte/loerrach-foto/,hoch (URL/Slug exakt)
9,"Karl Müller nach L. Heiss: Der Marktplatz in Carlsruhe, Lithografie, 1828",https://ausstellung.hebel-archiv.de/objekte/karlsruhe-schefold/,"Landesarchiv Baden-Württemberg, Generallandesarchiv Karlsruhe, J-B Karlsruhe 74",Offen,"evtl.bisherige Schefold-Abbildung durch GLA-Digitalisat ersetzen und Bildnachweis ändern, falls Schefold als Quelle problematisch. GLA-Digitalisat ist Public Domain Mark 1.0; keine Genehmigung erforderlich; ",https://www2.landesarchiv-bw.de/ofs21/bild_zoom/zoom.php?bestand=24121&id=3469821&gewaehlteSeite=04_0001617839_0001_4-1617839-1.png&leo=1&screenbreite=1536&screenhoehe=864,,https://ausstellung.hebel-archiv.de/objekte/karlsruhe-schefold/,hoch (URL/Slug exakt)
3,"Hebels Geburtshaus am Basler Totentanz, Emanuel Büchel",https://ausstellung.hebel-archiv.de/objekte/hebel-geburtshaus-privat/,Privatbesitz Basel; Bildquelle hausen.pcom.de,geklärt,gemeinfrei,,Auschnitt,https://ausstellung.hebel-archiv.de/objekte/hebel-geburtshaus-privat/,hoch (URL/Slug exakt)
7.1,Stammbuch Hebels: Eintrag Rheinwald,https://ausstellung.hebel-archiv.de/objekte/stammbuch-blb/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,freigestellt,,https://ausstellung.hebel-archiv.de/objekte/stammbuch-blb/,hoch (URL/Slug exakt)
7.2,Stammbuch Hebels: Eintrag Walch,https://ausstellung.hebel-archiv.de/objekte/stammbuch-walch-blb/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,freigestellt,,https://ausstellung.hebel-archiv.de/objekte/stammbuch-blb/,hoch (dokumentierter Metadatenabgleich)
4.1,"Gustav Wilhelm Friesenegger: Hausen, Hebelhaus, um 1840/50",https://ausstellung.hebel-archiv.de/objekte/hebelhaus-hausen/,Museum Schopfheim / Wikimedia Commons,Geklärt,Public Domain; keine Abdruckgenehmigung erforderlich,,,https://ausstellung.hebel-archiv.de/objekte/hebelhaus-hausen/,hoch (URL/Slug exakt)
